date,close,volume
2022-06-13,2.469,2799829.47
2022-06-14,2.475,4204231.93
2022-06-15,2.497,5041002.0
2022-06-16,2.507,3656097.38
2022-06-17,2.584,4633464.92
2022-06-20,2.626,4342663.5
2022-06-21,2.615,3433377.48
2022-06-22,2.596,3377905.27
2022-06-23,2.68,3333110.72
2022-06-24,2.738,3443232.64
2022-06-27,2.741,3511707.51
2022-06-28,2.754,3019685.82
2022-06-29,2.683,4188196.44
2022-06-30,2.73,3851202.2
2022-07-01,2.699,3733177.05
2022-07-04,2.75,4224542.1
2022-07-05,2.739,3190755.11
2022-07-06,2.725,3553012.7
2022-07-07,2.769,2977018.36
2022-07-08,2.731,3410261.17
2022-07-11,2.69,3312053.23
2022-07-12,2.622,3666847.92
2022-07-13,2.665,4034359.02
2022-07-14,2.735,4022018.0
2022-07-15,2.68,3179269.73
2022-07-18,2.717,2959546.0
2022-07-19,2.67,3179314.0
2022-07-20,2.68,2115302.0
2022-07-21,2.67,2400850.0
2022-07-22,2.651,2731006.19
2022-07-25,2.629,2688916.71
2022-07-26,2.634,2964000.18
2022-07-27,2.637,2480508.57
2022-07-28,2.629,2803312.87
2022-07-29,2.594,3248333.81
2022-08-01,2.657,2966449.73
2022-08-02,2.605,3618874.7
2022-08-03,2.553,2941596.28
2022-08-04,2.565,2737218.62
2022-08-05,2.606,2975010.62
2022-08-08,2.596,2255928.0
2022-08-09,2.614,1817196.0
2022-08-10,2.579,2017434.0
2022-08-11,2.647,2920715.0
2022-08-12,2.613,2392294.51
2022-08-15,2.638,2141853.08
2022-08-16,2.652,2113153.98
2022-08-17,2.695,2512153.47
2022-08-18,2.693,1946038.68
2022-08-19,2.653,1925440.5
2022-08-22,2.699,2411756.42
2022-08-23,2.697,2043619.15
2022-08-24,2.6,3869851.75
2022-08-25,2.59,2546453.16
2022-08-26,2.566,2272270.88
2022-08-29,2.553,2273973.0
2022-08-30,2.538,2213826.33
2022-08-31,2.491,3297222.17
2022-09-01,2.463,2949739.0
2022-09-02,2.461,3490205.1
2022-09-05,2.467,2996766.0
2022-09-06,2.468,4665268.47
2022-09-07,2.493,3859395.05
2022-09-08,2.448,3447968.53
2022-09-09,2.476,2696310.54
2022-09-13,2.475,2035525.6
2022-09-14,2.431,2706494.66
2022-09-15,2.349,4556434.05
2022-09-16,2.297,4833455.01
2022-09-19,2.285,3991607.04
2022-09-20,2.297,3602172.0
2022-09-21,2.265,5211842.89
2022-09-22,2.252,3672889.84
2022-09-23,2.239,5317416.68
2022-09-26,2.253,5280029.75
2022-09-27,2.306,4788444.29
2022-09-28,2.249,4647199.6
2022-09-29,2.267,4075693.26
2022-09-30,2.221,4371563.67
2022-10-10,2.166,4171627.07
2022-10-11,2.192,3940142.49
2022-10-12,2.274,7392729.78
2022-10-13,2.282,5962607.79
2022-10-14,2.365,6671159.77
2022-10-17,2.362,3898715.12
2022-10-18,2.373,4509611.67
2022-10-19,2.355,4024150.44
2022-10-20,2.337,6670186.98
2022-10-21,2.321,4429153.41
2022-10-24,2.266,7715407.69
2022-10-25,2.241,6661030.65
2022-10-26,2.302,6719578.5
2022-10-27,2.265,5303539.94
2022-10-28,2.187,7321985.5
2022-10-31,2.202,6828842.0
2022-11-01,2.275,7625569.02
2022-11-02,2.305,7214614.96
2022-11-03,2.309,6292291.71
2022-11-04,2.383,6868598.59
2022-11-07,2.379,5431514.68
2022-11-08,2.363,4922189.0
2022-11-09,2.326,5089810.25
2022-11-10,2.288,7389731.67
2022-11-11,2.33,10301880.96
2022-11-14,2.302,5736870.99
2022-11-15,2.361,6900639.41
2022-11-16,2.33,5663526.02
2022-11-17,2.316,6296815.85
2022-11-18,2.315,7439798.8
2022-11-21,2.319,3815405.53
2022-11-22,2.273,5982902.64
2022-11-23,2.269,5826873.05
2022-11-24,2.264,3179765.23
2022-11-25,2.242,3409458.98
2022-11-28,2.233,4870885.84
2022-11-29,2.268,6475878.55
2022-11-30,2.265,4449865.89
2022-12-01,2.311,6205197.05
2022-12-02,2.316,4384054.9
2022-12-05,2.313,7615324.95
2022-12-06,2.319,4939916.0
2022-12-07,2.343,7450582.14
2022-12-08,2.338,3043366.19
2022-12-09,2.348,3583371.53
2022-12-12,2.333,3881623.34
2022-12-13,2.305,3623504.29
2022-12-14,2.299,3335662.15
2022-12-15,2.326,4351061.95
2022-12-16,2.298,3966390.29
2022-12-19,2.274,4476904.42
2022-12-20,2.243,4084807.51
2022-12-21,2.24,3390578.32
2022-12-22,2.235,4067702.75
2022-12-23,2.222,4362469.0
2022-12-26,2.262,5714694.55
2022-12-27,2.293,5650560.44
2022-12-28,2.267,4269172.79
2022-12-29,2.277,4390877.69
2022-12-30,2.279,3802276.63
2023-01-03,2.289,4154350.34
2023-01-04,2.267,3642832.2
2023-01-05,2.33,6603988.98
2023-01-06,2.35,4965654.3
2023-01-09,2.365,3195072.71
2023-01-10,2.401,3763983.22
2023-01-11,2.374,2923227.28
2023-01-12,2.382,3475973.13
2023-01-13,2.417,3792201.61
2023-01-16,2.462,5158873.14
2023-01-17,2.47,2462065.14
2023-01-18,2.468,2641093.5
2023-01-19,2.496,3016618.04
2023-01-20,2.507,4008460.24
2023-01-30,2.533,5683976.82
2023-01-31,2.507,3745047.68
2023-02-01,2.537,4638570.96
2023-02-02,2.524,3119553.63
2023-02-03,2.5,4632209.84
2023-02-06,2.468,4240242.24
2023-02-07,2.461,3967825.26
2023-02-08,2.447,3929468.61
2023-02-09,2.493,4730293.58
2023-02-10,2.465,4264097.95
2023-02-13,2.495,4003011.31
2023-02-14,2.49,2709498.48
2023-02-15,2.468,2759203.64
2023-02-16,2.436,4404393.97
2023-02-17,2.378,5949467.63
2023-02-20,2.403,5333659.51
2023-02-21,2.395,3780998.0
2023-02-22,2.377,3420616.27
2023-02-23,2.385,3849256.71
2023-02-24,2.357,4935287.69
2023-02-27,2.34,5052813.0
2023-02-28,2.359,4766879.44
2023-03-01,2.372,6412398.39
2023-03-02,2.347,5046453.48
2023-03-03,2.352,5632115.85
2023-03-06,2.361,7738048.02
2023-03-07,2.312,8956964.16
2023-03-08,2.308,7611736.23
2023-03-09,2.303,6948050.94
2023-03-10,2.3,9929629.72
2023-03-13,2.287,10195899.99
2023-03-14,2.276,11674301.39
2023-03-15,2.268,10187440.45
2023-03-16,2.233,12835765.2
2023-03-17,2.228,16480314.49
2023-03-20,2.226,15921009.23
2023-03-21,2.265,16259210.35
2023-03-22,2.27,14370671.21
2023-03-23,2.288,8626969.93
2023-03-24,2.297,8485594.09
2023-03-27,2.323,12049123.51
2023-03-28,2.298,6173109.42
2023-03-29,2.297,5585027.47
2023-03-30,2.313,5651994.58
2023-03-31,2.327,6808435.45
2023-04-03,2.366,11096152.98
2023-04-04,2.35,7764313.9
2023-04-06,2.354,5487068.55
2023-04-07,2.369,5684291.37
2023-04-10,2.368,8264410.1
2023-04-11,2.362,5058053.74
2023-04-12,2.353,5356209.49
2023-04-13,2.332,4415316.04
2023-04-14,2.355,5338871.58
2023-04-17,2.364,4229752.0
2023-04-18,2.354,4686560.41
2023-04-19,2.339,3090912.79
2023-04-20,2.314,5434873.88
2023-04-21,2.269,6917726.25
2023-04-24,2.234,7294237.12
2023-04-25,2.193,13608451.53
2023-04-26,2.226,11083036.93
2023-04-27,2.24,4590208.43
2023-04-28,2.255,4133145.76
2023-05-04,2.23,3845669.57
2023-05-05,2.202,5257951.07
2023-05-08,2.213,7761581.04
2023-05-09,2.18,8089629.24
2023-05-10,2.199,11774380.87
2023-05-11,2.211,8314268.55
2023-05-12,2.185,5986893.06
2023-05-15,2.234,6916403.44
2023-05-16,2.228,6250010.08
2023-05-17,2.229,6221352.61
2023-05-18,2.215,7670418.72
2023-05-19,2.215,4472283.31
2023-05-22,2.214,5172903.0
2023-05-23,2.187,6933644.45
2023-05-24,2.183,7395046.63
2023-05-25,2.184,8126966.88
2023-05-26,2.167,9181841.07
2023-05-29,2.143,7125224.85
2023-05-30,2.155,7249693.16
2023-05-31,2.131,8498794.78
2023-06-01,2.148,8826449.49
2023-06-02,2.175,7879768.75
2023-06-05,2.143,8672138.47
2023-06-06,2.106,9012031.89
2023-06-07,2.075,9359429.12
2023-06-08,2.071,9368151.59
2023-06-09,2.086,8745659.24
2023-06-12,2.095,7595907.89
2023-06-13,2.111,7058033.63
2023-06-14,2.106,6824059.91
2023-06-15,2.179,18945139.24
2023-06-16,2.208,10714323.29
2023-06-19,2.207,7367843.04
2023-06-20,2.21,5795830.67
2023-06-21,2.156,7175165.75
2023-06-26,2.133,6925302.0
2023-06-27,2.138,5959135.85
2023-06-28,2.126,6467057.09
2023-06-29,2.129,3774614.0
2023-06-30,2.164,10091435.76
2023-07-03,2.171,5582985.27
2023-07-04,2.174,4306543.35
2023-07-05,2.156,3978490.0
